Plarity,Text
N,دو دن کی بارش میں سارا” بھرم“ بہہ گیا۔
N,مہذب دنیا میں حکومتیں اپنی پالیسیوں اور کارکردگی سے چلتی ہیں لیکن ہمارے ہاں حکومتوں کا سارا زور کارکردگی کے بجائے بھرم بازی پر ہوتا ہے۔
N, خوش کن وعدے ،لمبے چوڑے بیانات اور لیپا پوتی حکومتی عرصہ گزارنے کے لئے کافی ہوتی ہیں۔
N,اگر کوئی آفت سر پر آجائے تو پچھلی حکومتوں کو کوس کروقت گزار لیا جاتا ہے۔
N,یہی کچھ اس بار بھی ہوا جب دو دنوں کی بارش نے ملک کے اکثر علاقوں کو بلکہ بڑے بڑے شہروں کو تالاب میں تبدیل کر دیا۔
N,چند روز قبل لاہور کو تالاب میں تبدیل ہوتے دیکھا اور اب گذشتہ دو روز کی بارشوں نے کراچی کو بھی تالاب میں تبدیل کر دیا۔
N, نکاسی آب کے ناقص انتظامات، برساتی نالوں میں کچرا اور ناجائز تجاوزات کی بھرمار کے باعث شہر کا انفرااسٹرکچر چندگھنٹوں کی بارش کا بوجھ نہ اٹھا سکا۔ 
P,سڑکوں کا پانی گھروں میں داخل ہو گیا۔
N,شہریوں کی املاک کو نقصان پہنچا، قیمتی جانیں بھی ضائع ہوئیں۔ 
N,بجلی کی فراہمی میں تعطل پیدا ہوا جس سے روزہ داروں کی مشکلات میں اور بھی اضافہ ہو گیا۔
N,لوگ اپنے دفاتر نہ پہنچ سکے۔
N,شہری زندگی مکمل طور پر مفلوج ہو کر رہ گئی۔
N,انتظامیہ کا کہنا ہے کہ کیر تھر سے اور تھڈو ڈیم ٹوٹنے سے پانی کا ریلہ کراچی میں داخل ہوا۔
N,ملحقہ آبادیاں زیر آب آ گئیں لیکن سوال اپنی جگہ قائم ہے کہ شہرکا اپنا نکاسی آب کا نظام کیوں بوقت ضرورت مفلوج تھا؟
N,انتظامیہ کیوں مون سون کی بارشوں کے سسٹم سے بے خبر رہی ؟
N,کیوں زیر آب آنے والی آبادیوں کو بر وقت وارننگ اور ریلیف فراہم نہ کیا جاسکا؟
N,صوبائی انتظامیہ نے خاموش تماشائی کا کردار ادا کیا۔
P,شہریوں نے اپنی مصیبتوں کا مداوا اپنی مدد آپ کے تحت کیا۔
N,کسی نے بلدیاتی نظام کی عدم موجودگی کی طرف توجہ دلائی تو بجائے اس کے کہ اس کوتاہی کو تسلیم کر کے اس کے مداوے کا اعلان کیا جاتا عدلیہ کے حکم کے مطابق بلدیاتی الیکشن کے شیڈول دینے کی بابت بات کی جاتی جواب آیا کہ گذشتہ دس سال کے بلدیاتی اداروں اور ضلعی حکومتوں کا آڈٹ کرایا جائے گا
N,جیسے آڈٹ کرانے کے اعلان سے پانی میں ڈوبے انسان باہر نکل آئیں گے اور پانی کا ریلہ گھبرا کر کہیں فرار ہو جائے گا۔
N,جو کام آپ پچھلے پانچ سالوں میں مرکز اور صوبے میں حکومت ہوتے ہوئے نہ کر سکے اب وہ کام آپ کی ہوا میں لٹکتی ہوئی اکلوتی صوبائی حکومت کیسے کر سکے گی؟
N,سیاسی مخاصمت اور مخالفت میں دئیے گئے بیانات سے کسی طورشہریوں کی مصیبتیں کم نہیں ہو سکتیں۔
